cidade,uf,regiao,codmun,pop_dou_2017,Jornal,Online,Rádio,Revista,Televisão,tipos_existentes,total_fontes,fontes_100k_hab
BERTIOGA,SP,Sudeste,3506359,59297,3,0,0,0,2,Vários,5,8.43212978734169
BERTOLÍNIA,PI,Nordeste,2201705,5413,0,0,0,0,0,Nenhum,0,0
BERTÓPOLIS,MG,Sudeste,3106606,4678,0,0,0,0,1,Um,1,21.3766566908935
BERURI,AM,Norte,1300631,18978,0,0,0,0,0,Nenhum,0,0
BETÂNIA,PE,Nordeste,2601805,12637,0,0,0,0,0,Nenhum,0,0
BETÂNIA DO PIAUÍ,PI,Nordeste,2201739,6106,0,0,0,0,0,Nenhum,0,0
BETIM,MG,Sudeste,3106705,427146,5,0,2,0,1,Vários,8,1.87289591849157
BEZERROS,PE,Nordeste,2601904,60549,0,0,2,0,1,Vários,3,4.95466481692513
BIAS FORTES,MG,Sudeste,3106804,3613,0,0,0,0,0,Nenhum,0,0
BICAS,MG,Sudeste,3106903,14545,0,0,1,0,1,Vários,2,13.7504297009282
BIGUAÇU,SC,Sul,4202305,66558,5,1,0,0,0,Vários,6,9.01469395114036
BILAC,SP,Sudeste,3506409,7837,0,0,1,0,0,Um,1,12.7599846880184
BIQUINHAS,MG,Sudeste,3107000,2619,0,0,0,0,0,Nenhum,0,0
BIRIGUI,SP,Sudeste,3506508,120692,0,0,5,0,1,Vários,6,4.97133198555
BIRITIBA-MIRIM,SP,Sudeste,3506607,31793,1,0,0,0,0,Um,1,3.14534645991256
BIRITINGA,BA,Nordeste,2903607,16653,0,0,0,0,0,Nenhum,0,0
BITURUNA,PR,Sul,4102901,16627,1,0,1,0,0,Vários,2,12.0286281349612
BLUMENAU,SC,Sul,4202404,348513,12,2,13,0,3,Vários,30,8.60800027545601
BOA ESPERANÇA,ES,Sudeste,3201001,15460,0,0,1,0,0,Um,1,6.46830530401035
BOA ESPERANÇA,MG,Sudeste,3107109,40530,3,0,2,0,1,Vários,6,14.8038490007402
BOA ESPERANÇA,PR,Sul,4103008,4392,0,0,0,0,0,Nenhum,0,0
BOA ESPERANÇA DO IGUAÇU,PR,Sul,4103024,2671,0,0,0,0,0,Nenhum,0,0
BOA ESPERANÇA DO SUL,SP,Sudeste,3506706,14727,0,0,0,0,1,Um,1,6.79024920214572
BOA HORA,PI,Nordeste,2201770,6663,0,0,0,0,0,Nenhum,0,0
BOA NOVA,BA,Nordeste,2903706,14069,0,0,0,0,1,Um,1,7.10782571611344
