cidade,uf,regiao,codmun,pop_dou_2017,Jornal,Online,Rádio,Revista,Televisão,tipos_existentes,total_fontes,fontes_100k_hab
CORONEL FABRICIANO,MG,Sudeste,3119401,110326,0,0,2,0,2,Vários,4,3.62561862117724
CORONEL FREITAS,SC,Sul,4204400,10130,1,0,2,0,1,Vários,4,39.4866732477789
CORONEL JOÃO PESSOA,RN,Nordeste,2402907,4980,0,0,0,0,1,Um,1,20.0803212851406
CORONEL JOÃO SÁ,BA,Nordeste,2909208,16814,0,0,0,0,0,Nenhum,0,0
CORONEL JOSÉ DIAS,PI,Nordeste,2202851,4608,0,0,0,0,0,Nenhum,0,0
CORONEL MACEDO,SP,Sudeste,3512605,4840,0,0,0,0,0,Nenhum,0,0
CORONEL MARTINS,SC,Sul,4204459,2548,0,0,0,0,0,Nenhum,0,0
CORONEL MURTA,MG,Sudeste,3119500,9411,0,0,0,0,1,Um,1,10.6258633513973
CORONEL PACHECO,MG,Sudeste,3119609,3125,0,0,0,0,1,Um,1,32
CORONEL PILAR,RS,Sul,4305934,1728,0,0,0,0,0,Nenhum,0,0
CORONEL SAPUCAIA,MS,Centro-Oeste,5003157,15016,0,0,0,0,1,Um,1,6.6595631326585
CORONEL VIVIDA,PR,Sul,4106506,21666,0,0,3,0,0,Um,3,13.846579894766
CORONEL XAVIER CHAVES,MG,Sudeste,3119708,3471,0,0,0,0,0,Nenhum,0,0
CÓRREGO DANTA,MG,Sudeste,3119807,3359,0,0,1,0,1,Vários,2,59.5415302173266
CÓRREGO DO BOM JESUS,MG,Sudeste,3119906,3804,0,0,0,0,1,Um,1,26.2881177707676
CÓRREGO DO OURO,GO,Centro-Oeste,5205703,2514,0,0,0,0,0,Nenhum,0,0
CÓRREGO FUNDO,MG,Sudeste,3119955,6295,0,0,0,0,0,Nenhum,0,0
CÓRREGO NOVO,MG,Sudeste,3120003,2970,0,0,0,0,1,Um,1,33.6700336700337
CORREIA PINTO,SC,Sul,4204558,13358,1,0,0,0,0,Um,1,7.4861506213505
CORRENTE,PI,Nordeste,2202901,26205,0,0,2,0,1,Vários,3,11.4481969089868
CORRENTES,PE,Nordeste,2604700,18098,0,0,0,0,0,Nenhum,0,0
CORRENTINA,BA,Nordeste,2909307,33361,0,0,2,0,1,Vários,3,8.99253619495818
CORTÊS,PE,Nordeste,2604809,12560,0,0,0,0,1,Um,1,7.96178343949045
CORUMBÁ,MS,Centro-Oeste,5003207,109899,4,3,7,0,2,Vários,16,14.5588221912847
CORUMBÁ DE GOIÁS,GO,Centro-Oeste,5205802,11086,0,0,0,0,1,Um,1,9.0203860725239
CORUMBAÍBA,GO,Centro-Oeste,5205901,9332,0,0,0,0,0,Nenhum,0,0
CORUMBATAÍ,SP,Sudeste,3512704,4054,0,0,0,0,0,Nenhum,0,0
CORUMBATAÍ DO SUL,PR,Sul,4106555,3617,0,0,0,0,0,Nenhum,0,0
CORUMBIARA,RO,Norte,1100072,8659,0,0,0,0,0,Nenhum,0,0
CORUPÁ,SC,Sul,4204509,15541,1,0,0,0,0,Um,1,6.43459236857345
CORURIPE,AL,Nordeste,2702306,57498,0,0,0,0,2,Um,2,3.47838185676024
COSMÓPOLIS,SP,Sudeste,3512803,69086,2,0,1,0,0,Vários,3,4.34241380308601
COSMORAMA,SP,Sudeste,3512902,7374,0,0,0,0,1,Um,1,13.5611608353675
COSTA MARQUES,RO,Norte,1100080,17400,0,0,0,0,0,Nenhum,0,0
COSTA RICA,MS,Centro-Oeste,5003256,20159,2,0,2,0,1,Vários,5,24.8028176000794
COTEGIPE,BA,Nordeste,2909406,14414,0,0,0,0,0,Nenhum,0,0
COTIA,SP,Sudeste,3513009,237750,7,2,0,0,1,Vários,10,4.20609884332282
COTIPORÃ,RS,Sul,4305959,4000,0,0,0,0,0,Nenhum,0,0
COTRIGUAÇU,MT,Centro-Oeste,5103379,18689,0,0,0,0,0,Nenhum,0,0
COUTO DE MAGALHÃES DE MINAS,MG,Sudeste,3120102,4444,0,0,0,0,0,Nenhum,0,0
COUTO MAGALHÃES,TO,Norte,1706001,5529,0,0,0,0,0,Nenhum,0,0
COXILHA,RS,Sul,4305975,2876,0,0,0,0,0,Nenhum,0,0
COXIM,MS,Centro-Oeste,5003306,33323,3,2,3,0,1,Vários,9,27.0083725955046
COXIXOLA,PB,Nordeste,2504850,1925,0,0,0,0,0,Nenhum,0,0
CRAÍBAS,AL,Nordeste,2702355,24510,0,0,0,0,0,Nenhum,0,0
CRATEÚS,CE,Nordeste,2304103,74426,1,0,5,0,0,Vários,6,8.06169886867493
CRATO,CE,Nordeste,2304202,130604,0,1,5,0,0,Vários,6,4.59403999877492
CRAVINHOS,SP,Sudeste,3513108,34651,1,0,0,0,1,Vários,2,5.77183919655998
CRAVOLÂNDIA,BA,Nordeste,2909505,5576,0,0,0,0,0,Nenhum,0,0
CRICIÚMA,SC,Sul,4204608,211369,12,7,3,0,3,Vários,25,11.8276568465574
CRISÓLITA,MG,Sudeste,3120151,6631,0,0,0,0,0,Nenhum,0,0
CRISÓPOLIS,BA,Nordeste,2909604,21835,0,0,0,0,0,Nenhum,0,0
CRISSIUMAL,RS,Sul,4306007,14195,0,0,2,0,0,Um,2,14.0894681225784
CRISTAIS,MG,Sudeste,3120201,12564,0,0,0,0,0,Nenhum,0,0
CRISTAIS PAULISTA,SP,Sudeste,3513207,8424,0,0,0,0,0,Nenhum,0,0
CRISTAL,RS,Sul,4306056,7831,0,0,0,0,0,Nenhum,0,0
CRISTAL DO SUL,RS,Sul,4306072,2918,0,0,0,0,0,Nenhum,0,0
CRISTALÂNDIA,TO,Norte,1706100,7374,0,0,1,0,1,Vários,2,27.122321670735
CRISTALÂNDIA DO PIAUÍ,PI,Nordeste,2203008,8154,0,0,0,0,0,Nenhum,0,0
CRISTÁLIA,MG,Sudeste,3120300,6042,0,0,0,0,0,Nenhum,0,0
CRISTALINA,GO,Centro-Oeste,5206206,55347,1,0,1,0,0,Vários,2,3.61356532422715
CRISTIANO OTONI,MG,Sudeste,3120409,5225,0,0,0,0,0,Nenhum,0,0
CRISTIANÓPOLIS,GO,Centro-Oeste,5206305,3029,0,0,0,0,0,Nenhum,0,0
CRISTINA,MG,Sudeste,3120508,10482,0,0,0,0,1,Um,1,9.54016409082236
CRISTINÁPOLIS,SE,Nordeste,2801702,18270,0,0,0,0,0,Nenhum,0,0
CRISTINO CASTRO,PI,Nordeste,2203107,10253,0,0,0,0,0,Nenhum,0,0
CRISTÓPOLIS,BA,Nordeste,2909703,14403,0,0,0,0,0,Nenhum,0,0
CRIXÁS,GO,Centro-Oeste,5206404,16893,1,0,1,0,1,Vários,3,17.7588350204227
CRIXÁS DO TOCANTINS,TO,Norte,1706258,1708,0,0,0,0,0,Nenhum,0,0
CROATÁ,CE,Nordeste,2304236,17874,0,0,1,0,0,Um,1,5.59471858565514
CROMÍNIA,GO,Centro-Oeste,5206503,3606,0,0,0,0,0,Nenhum,0,0
CRUCILÂNDIA,MG,Sudeste,3120607,5057,0,0,0,0,0,Nenhum,0,0
CRUZ,CE,Nordeste,2304251,23983,0,0,0,0,0,Nenhum,0,0
CRUZ ALTA,RS,Sul,4306106,63463,9,0,7,0,2,Vários,18,28.3629831555394
CRUZ DAS ALMAS,BA,Nordeste,2909802,64932,1,0,2,0,0,Vários,3,4.62021807429311
CRUZ DO ESPÍRITO SANTO,PB,Nordeste,2504900,17559,0,0,0,0,0,Nenhum,0,0
CRUZ MACHADO,PR,Sul,4106803,18907,1,0,0,0,0,Um,1,5.2890463849368
CRUZÁLIA,SP,Sudeste,3513306,2161,0,0,0,0,0,Nenhum,0,0
CRUZALTENSE,RS,Sul,4306130,2059,0,0,0,0,0,Nenhum,0,0
CRUZEIRO,SP,Sudeste,3513405,81724,2,0,2,0,1,Vários,5,6.11815378591356
CRUZEIRO DA FORTALEZA,MG,Sudeste,3120706,4174,0,0,0,0,0,Nenhum,0,0
CRUZEIRO DO IGUAÇU,PR,Sul,4106571,4369,0,0,0,0,0,Nenhum,0,0
CRUZEIRO DO OESTE,PR,Sul,4106605,21237,2,0,1,0,1,Vários,4,18.8350520318312
CRUZEIRO DO SUL,AC,Norte,1200203,82622,0,0,3,0,3,Vários,6,7.26198833240541
CRUZEIRO DO SUL,PR,Sul,4106704,4619,0,0,0,0,0,Nenhum,0,0
CRUZEIRO DO SUL,RS,Sul,4306205,12258,0,0,0,0,0,Nenhum,0,0
CRUZETA,RN,Nordeste,2403004,8147,0,0,0,0,0,Nenhum,0,0
CRUZÍLIA,MG,Sudeste,3120805,15497,0,0,0,0,1,Um,1,6.45286184422791
CRUZMALTINA,PR,Sul,4106852,3110,0,0,0,0,0,Nenhum,0,0
CUBATÃO,SP,Sudeste,3513504,128748,7,0,1,0,0,Vários,8,6.2136887563302
CUBATI,PB,Nordeste,2505006,7274,0,0,0,0,1,Um,1,13.7475941710201
CUIABÁ,MT,Centro-Oeste,5103403,590118,17,24,24,0,22,Vários,87,14.7428141490346
CUITÉ,PB,Nordeste,2505105,20348,0,0,0,0,1,Um,1,4.91448791035974
CUITÉ DE MAMANGUAPE,PB,Nordeste,2505238,6358,0,0,0,0,0,Nenhum,0,0
CUITEGI,PB,Nordeste,2505204,6790,0,0,0,0,0,Nenhum,0,0
CUJUBIM,RO,Norte,1100940,22443,0,0,0,0,0,Nenhum,0,0
CUMARI,GO,Centro-Oeste,5206602,2975,0,0,0,0,0,Nenhum,0,0
CUMARU,PE,Nordeste,2604908,11559,0,0,0,0,0,Nenhum,0,0
CUMARU DO NORTE,PA,Norte,1502764,13093,0,0,0,0,0,Nenhum,0,0
CUMBE,SE,Nordeste,2801900,4012,0,0,0,0,0,Nenhum,0,0
CUNHA,SP,Sudeste,3513603,21929,0,0,0,0,1,Um,1,4.56017146244699
CUNHA PORÃ,SC,Sul,4204707,11057,0,0,2,0,1,Vários,3,27.1321334900968
CUNHATAÍ,SC,Sul,4204756,1955,0,0,0,0,0,Nenhum,0,0
CUPARAQUE,MG,Sudeste,3120839,4995,0,0,1,0,0,Um,1,20.02002002002
CUPIRA,PE,Nordeste,2605004,23977,0,0,2,0,0,Um,2,8.34132710514243
CURAÇÁ,BA,Nordeste,2909901,35524,0,0,0,0,0,Nenhum,0,0
CURIMATÁ,PI,Nordeste,2203206,11190,0,0,1,0,0,Um,1,8.93655049151028
CURIONÓPOLIS,PA,Norte,1502772,17453,0,0,1,0,2,Vários,3,17.1890219446513
CURITIBA,PR,Sul,4106902,1908359,27,64,43,4,19,Vários,157,8.22696358494392
CURITIBANOS,SC,Sul,4204806,39566,1,1,1,0,0,Vários,3,7.58226760349795
CURIÚVA,PR,Sul,4107009,15004,0,0,0,0,0,Nenhum,0,0
CURRAIS,PI,Nordeste,2203230,4871,0,0,0,0,0,Nenhum,0,0
CURRAIS NOVOS,RN,Nordeste,2403103,45228,2,0,3,0,0,Vários,5,11.0550986114796
CURRAL DE CIMA,PB,Nordeste,2505279,5232,0,0,0,0,0,Nenhum,0,0
CURRAL DE DENTRO,MG,Sudeste,3120870,7623,0,0,0,0,0,Nenhum,0,0
CURRAL NOVO DO PIAUÍ,PI,Nordeste,2203271,5251,0,0,0,0,0,Nenhum,0,0
CURRAL VELHO,PB,Nordeste,2505303,2517,0,0,0,0,0,Nenhum,0,0
CURRALINHO,PA,Norte,1502806,33490,0,0,0,0,0,Nenhum,0,0
CURRALINHOS,PI,Nordeste,2203255,4367,0,0,0,0,0,Nenhum,0,0
CURUÁ,PA,Norte,1502855,13996,0,0,0,0,0,Nenhum,0,0
CURUÇÁ,PA,Norte,1502905,38959,0,0,1,0,0,Um,1,2.56680099591879
CURURUPU,MA,Nordeste,2103703,30706,0,0,0,0,0,Nenhum,0,0
CURVELÂNDIA,MT,Centro-Oeste,5103437,5049,0,0,0,0,0,Nenhum,0,0
CURVELO,MG,Sudeste,3120904,79878,1,0,3,0,3,Vários,7,8.7633641302987
CUSTÓDIA,PE,Nordeste,2605103,36753,0,0,0,0,0,Nenhum,0,0
CUTIAS,AP,Norte,1600212,5637,0,0,0,0,0,Nenhum,0,0
DAMIANÓPOLIS,GO,Centro-Oeste,5206701,3389,0,0,0,0,0,Nenhum,0,0
DAMIÃO,PB,Nordeste,2505352,5343,0,0,0,0,0,Nenhum,0,0
DAMOLÂNDIA,GO,Centro-Oeste,5206800,2935,0,0,0,0,0,Nenhum,0,0
DARCINÓPOLIS,TO,Norte,1706506,5988,0,0,0,0,0,Nenhum,0,0
DÁRIO MEIRA,BA,Nordeste,2910008,11716,0,0,0,0,1,Um,1,8.53533629224991
DATAS,MG,Sudeste,3121001,5471,0,0,0,0,1,Um,1,18.2781941144215
DAVID CANABARRO,RS,Sul,4306304,4844,0,0,2,0,1,Vários,3,61.9322873658134
DAVINÓPOLIS,GO,Centro-Oeste,5206909,2133,0,0,0,0,0,Nenhum,0,0
DAVINÓPOLIS,MA,Nordeste,2103752,12659,0,0,0,0,0,Nenhum,0,0
DELFIM MOREIRA,MG,Sudeste,3121100,8205,0,0,0,0,1,Um,1,12.187690432663
DELFINÓPOLIS,MG,Sudeste,3121209,7186,0,0,0,0,1,Um,1,13.9159476760367
DELMIRO GOUVEIA,AL,Nordeste,2702405,52597,0,0,1,0,0,Um,1,1.90124912067228
DELTA,MG,Sudeste,3121258,9904,0,0,0,0,0,Nenhum,0,0
DEMERVAL LOBÃO,PI,Nordeste,2203305,13595,0,0,1,0,0,Um,1,7.35564545788893
DENISE,MT,Centro-Oeste,5103452,9115,0,0,0,0,1,Um,1,10.9709270433352
DEODÁPOLIS,MS,Centro-Oeste,5003454,12773,0,0,1,0,0,Um,1,7.82901432709622
DEPUTADO IRAPUAN PINHEIRO,CE,Nordeste,2304269,9521,0,0,0,0,0,Nenhum,0,0
DERRUBADAS,RS,Sul,4306320,3102,0,0,0,0,0,Nenhum,0,0
DESCALVADO,SP,Sudeste,3513702,33346,2,0,2,0,1,Vários,5,14.9943021651772
DESCANSO,SC,Sul,4204905,8399,0,0,3,0,1,Vários,4,47.6247172282415
DESCOBERTO,MG,Sudeste,3121308,5047,0,0,0,0,1,Um,1,19.8137507430157
DESTERRO,PB,Nordeste,2505402,8306,0,0,0,0,0,Nenhum,0,0
DESTERRO DE ENTRE RIOS,MG,Sudeste,3121407,7334,0,0,0,0,1,Um,1,13.6351240796291
DESTERRO DO MELO,MG,Sudeste,3121506,3015,0,0,0,0,1,Um,1,33.167495854063
DEZESSEIS DE NOVEMBRO,RS,Sul,4306353,2744,0,0,0,0,0,Nenhum,0,0
DIADEMA,SP,Sudeste,3513801,417869,7,0,0,0,0,Um,7,1.67516614058473
DIAMANTE,PB,Nordeste,2505600,6550,0,0,0,0,0,Nenhum,0,0
DIAMANTE D'OESTE,PR,Sul,4107157,5294,0,0,0,0,0,Nenhum,0,0
DIAMANTE DO NORTE,PR,Sul,4107108,5389,0,0,0,0,0,Nenhum,0,0
DIAMANTE DO SUL,PR,Sul,4107124,3555,0,0,0,0,0,Nenhum,0,0
DIAMANTINA,MG,Sudeste,3121605,48230,2,0,5,0,2,Vários,9,18.6605846983205
DIAMANTINO,MT,Centro-Oeste,5103502,21294,1,0,2,0,1,Vários,4,18.7846341692496
DIANÓPOLIS,TO,Norte,1707009,21738,0,0,0,0,1,Um,1,4.60023921243905
DIAS D'ÁVILA,BA,Nordeste,2910057,80657,0,0,0,0,0,Nenhum,0,0
DILERMANDO DE AGUIAR,RS,Sul,4306379,3130,0,0,0,0,0,Nenhum,0,0
DIOGO DE VASCONCELOS,MG,Sudeste,3121704,3913,0,0,0,0,1,Um,1,25.5558395093279
DIONÍSIO,MG,Sudeste,3121803,8287,0,0,1,0,1,Vários,2,24.1341860745746
DIONÍSIO CERQUEIRA,SC,Sul,4205001,15450,2,1,1,0,0,Vários,4,25.8899676375405
DIORAMA,GO,Centro-Oeste,5207105,2547,0,0,0,0,1,Um,1,39.2618767177071
DIRCE REIS,SP,Sudeste,3513850,1785,0,0,0,0,0,Nenhum,0,0
DIRCEU ARCOVERDE,PI,Nordeste,2203354,6896,0,0,0,0,0,Nenhum,0,0
DIVINA PASTORA,SE,Nordeste,2802007,5058,0,0,0,0,0,Nenhum,0,0
DIVINÉSIA,MG,Sudeste,3121902,3455,0,0,0,0,1,Um,1,28.9435600578871
DIVINO,MG,Sudeste,3122009,20133,3,1,1,0,1,Vários,6,29.8018179108926
DIVINO DAS LARANJEIRAS,MG,Sudeste,3122108,5086,0,0,0,0,1,Um,1,19.6618167518679
DIVINO DE SÃO LOURENÇO,ES,Sudeste,3201803,4612,0,0,0,0,0,Nenhum,0,0
DIVINOLÂNDIA,SP,Sudeste,3513900,11384,0,0,0,0,1,Um,1,8.78425860857344
DIVINOLÂNDIA DE MINAS,MG,Sudeste,3122207,7559,0,0,0,0,1,Um,1,13.2292631300437
DIVINÓPOLIS,MG,Sudeste,3122306,234937,6,5,8,0,3,Vários,22,9.36421253357283
DIVINÓPOLIS DE GOIÁS,GO,Centro-Oeste,5208301,4995,0,0,0,0,0,Nenhum,0,0
DIVINÓPOLIS DO TOCANTINS,TO,Norte,1707108,6868,0,0,0,0,0,Nenhum,0,0
DIVISA ALEGRE,MG,Sudeste,3122355,6625,0,0,0,0,0,Nenhum,0,0
DIVISA NOVA,MG,Sudeste,3122405,6068,0,0,0,0,0,Nenhum,0,0
DIVISÓPOLIS,MG,Sudeste,3122454,10547,0,0,0,0,0,Nenhum,0,0
DOBRADA,SP,Sudeste,3514007,8744,0,0,0,0,0,Nenhum,0,0
DOIS CÓRREGOS,SP,Sudeste,3514106,26891,2,1,2,0,1,Vários,6,22.3122977948012
DOIS IRMÃOS,RS,Sul,4306403,30753,1,0,0,0,0,Um,1,3.2517152798101
DOIS IRMÃOS DAS MISSÕES,RS,Sul,4306429,2158,0,0,0,0,0,Nenhum,0,0
DOIS IRMÃOS DO BURITI,MS,Centro-Oeste,5003488,11132,0,0,0,0,0,Nenhum,0,0
DOIS IRMÃOS DO TOCANTINS,TO,Norte,1707207,7286,0,0,0,0,0,Nenhum,0,0
DOIS LAJEADOS,RS,Sul,4306452,3430,0,0,0,0,0,Nenhum,0,0
DOIS RIACHOS,AL,Nordeste,2702504,11214,0,0,0,0,1,Um,1,8.91742464776173
DOIS VIZINHOS,PR,Sul,4107207,39856,1,0,3,0,0,Vários,4,10.0361300682457
DOLCINÓPOLIS,SP,Sudeste,3514205,2136,0,0,0,0,0,Nenhum,0,0
DOM AQUINO,MT,Centro-Oeste,5103601,7977,0,0,0,0,0,Nenhum,0,0
DOM BASÍLIO,BA,Nordeste,2910107,12604,0,0,0,0,0,Nenhum,0,0
DOM BOSCO,MG,Sudeste,3122470,3818,0,0,0,0,0,Nenhum,0,0
DOM CAVATI,MG,Sudeste,3122504,5247,0,0,0,0,0,Nenhum,0,0
DOM ELISEU,PA,Norte,1502939,58071,0,0,0,0,1,Um,1,1.72202992888016
DOM EXPEDITO LOPES,PI,Nordeste,2203404,6790,0,0,0,0,0,Nenhum,0,0
DOM FELICIANO,RS,Sul,4306502,15279,0,0,0,0,1,Um,1,6.54493095097847
DOM INOCÊNCIO,PI,Nordeste,2203453,9404,0,0,0,0,0,Nenhum,0,0
DOM JOAQUIM,MG,Sudeste,3122603,4602,0,0,0,0,1,Um,1,21.7296827466319
DOM MACEDO COSTA,BA,Nordeste,2910206,4212,0,0,0,0,0,Nenhum,0,0
DOM PEDRITO,RS,Sul,4306601,39822,2,1,3,0,2,Vários,8,20.0893978203003
DOM PEDRO,MA,Nordeste,2103802,22912,0,0,0,0,1,Um,1,4.3645251396648
DOM PEDRO DE ALCÂNTARA,RS,Sul,4306551,2617,0,0,0,0,0,Nenhum,0,0
DOM SILVÉRIO,MG,Sudeste,3122702,5351,0,0,0,0,1,Um,1,18.6880956830499
DOM VIÇOSO,MG,Sudeste,3122801,3072,0,0,0,0,1,Um,1,32.5520833333333
DOMINGOS MARTINS,ES,Sudeste,3201902,34757,1,1,2,0,3,Vários,7,20.139827948327
DOMINGOS MOURÃO,PI,Nordeste,2203420,4287,0,0,0,0,0,Nenhum,0,0
DONA EMMA,SC,Sul,4205100,4081,0,0,0,0,1,Um,1,24.5037980887037
DONA EUSÉBIA,MG,Sudeste,3122900,6527,0,0,0,0,0,Nenhum,0,0
DONA FRANCISCA,RS,Sul,4306700,3331,0,0,0,0,0,Nenhum,0,0
DONA INÊS,PB,Nordeste,2505709,10383,0,0,0,0,1,Um,1,9.63112780506597
DORES DE CAMPOS,MG,Sudeste,3123007,10093,0,0,0,0,1,Um,1,9.90785693054592
DORES DE GUANHÃES,MG,Sudeste,3123106,5316,0,0,0,0,1,Um,1,18.811136192626
DORES DO INDAIÁ,MG,Sudeste,3123205,13923,0,0,2,0,1,Vários,3,21.5470803706098
DORES DO RIO PRETO,ES,Sudeste,3202009,6949,0,0,0,0,1,Um,1,14.3905597927759
DORES DO TURVO,MG,Sudeste,3123304,4437,0,0,0,0,1,Um,1,22.5377507324769
DORESÓPOLIS,MG,Sudeste,3123403,1533,0,0,0,0,0,Nenhum,0,0
DORMENTES,PE,Nordeste,2605152,18692,0,0,0,0,0,Nenhum,0,0
DOURADINA,MS,Centro-Oeste,5003504,5827,0,0,0,0,0,Nenhum,0,0
DOURADINA,PR,Sul,4107256,8439,0,0,0,0,0,Nenhum,0,0
DOURADO,SP,Sudeste,3514304,8909,0,0,1,0,1,Vários,2,22.4492086653945
DOURADOQUARA,MG,Sudeste,3123502,1930,0,0,0,0,1,Um,1,51.8134715025907
DOURADOS,MS,Centro-Oeste,5003702,218069,4,9,11,0,2,Vários,26,11.9228317642581
DOUTOR CAMARGO,PR,Sul,4107306,6069,0,0,0,0,0,Nenhum,0,0
DOUTOR MAURÍCIO CARDOSO,RS,Sul,4306734,5110,0,0,0,0,1,Um,1,19.5694716242661
DOUTOR PEDRINHO,SC,Sul,4205159,4043,0,0,0,0,1,Um,1,24.7341083353945
DOUTOR RICARDO,RS,Sul,4306759,2071,0,0,0,0,0,Nenhum,0,0
DOUTOR SEVERIANO,RN,Nordeste,2403202,7190,0,0,0,0,1,Um,1,13.9082058414465
DOUTOR ULYSSES,PR,Sul,4128633,5781,0,0,0,0,0,Nenhum,0,0
DOVERLÂNDIA,GO,Centro-Oeste,5207253,7750,0,0,0,0,1,Um,1,12.9032258064516
DRACENA,SP,Sudeste,3514403,46324,2,0,5,0,0,Vários,7,15.1109576029704
DUARTINA,SP,Sudeste,3514502,12549,0,0,1,0,1,Vários,2,15.9375249023827
DUAS BARRAS,RJ,Sudeste,3301603,11169,0,1,0,0,1,Vários,2,17.90670606142
DUAS ESTRADAS,PB,Nordeste,2505808,3594,0,0,0,0,0,Nenhum,0,0
DUERÉ,TO,Norte,1707306,4727,0,0,0,0,0,Nenhum,0,0
DUMONT,SP,Sudeste,3514601,9468,0,0,0,0,0,Nenhum,0,0
DUQUE BACELAR,MA,Nordeste,2103901,11208,0,0,0,0,0,Nenhum,0,0
DUQUE DE CAXIAS,RJ,Sudeste,3301702,890997,14,7,2,1,2,Vários,26,2.91807940991945
DURANDÉ,MG,Sudeste,3123528,7884,0,0,0,0,0,Nenhum,0,0
ECHAPORÃ,SP,Sudeste,3514700,6247,0,0,0,0,0,Nenhum,0,0
ECOPORANGA,ES,Sudeste,3202108,24217,1,0,0,0,1,Vários,2,8.25866127100797
EDEALINA,GO,Centro-Oeste,5207352,3809,0,0,0,0,1,Um,1,26.2536098713573
EDÉIA,GO,Centro-Oeste,5207402,12231,0,0,1,0,1,Vários,2,16.3518927315837
EIRUNEPÉ,AM,Norte,1301407,34888,0,0,0,0,0,Nenhum,0,0
ELDORADO,MS,Centro-Oeste,5003751,12224,0,0,2,0,1,Vários,3,24.5418848167539
ELDORADO,SP,Sudeste,3514809,15436,0,0,0,0,1,Um,1,6.47836227001814
ELDORADO DO CARAJÁS,PA,Norte,1502954,32892,0,0,0,0,0,Nenhum,0,0
ELDORADO DO SUL,RS,Sul,4306767,38581,2,0,0,0,0,Um,2,5.18389881029522
ELESBÃO VELOSO,PI,Nordeste,2203503,14383,0,0,2,0,1,Vários,3,20.857957310714
ELIAS FAUSTO,SP,Sudeste,3514908,17393,1,0,0,0,0,Um,1,5.74943942965561
ELISEU MARTINS,PI,Nordeste,2203602,4834,0,0,0,0,0,Nenhum,0,0
ELISIÁRIO,SP,Sudeste,3514924,3537,0,0,0,0,0,Nenhum,0,0
ELÍSIO MEDRADO,BA,Nordeste,2910305,8461,0,0,0,0,0,Nenhum,0,0
ELÓI MENDES,MG,Sudeste,3123601,27730,0,0,1,0,1,Vários,2,7.21240533717995
EMAS,PB,Nordeste,2505907,3528,0,0,0,0,0,Nenhum,0,0
EMBAÚBA,SP,Sudeste,3514957,2476,0,0,0,0,0,Nenhum,0,0
EMBU DAS ARTES,SP,Sudeste,3515004,267054,2,0,0,0,0,Um,2,0.748912205022205
EMBU-GUAÇU,SP,Sudeste,3515103,68270,1,0,0,0,0,Um,1,1.46477222791856
EMILIANÓPOLIS,SP,Sudeste,3515129,3197,0,0,0,0,0,Nenhum,0,0
ENCANTADO,RS,Sul,4306809,22128,4,0,2,0,1,Vários,7,31.6341287057122
ENCANTO,RN,Nordeste,2403301,5666,0,0,0,0,0,Nenhum,0,0
ENCRUZILHADA,BA,Nordeste,2910404,19376,0,0,0,0,1,Um,1,5.16102394715111
ENCRUZILHADA DO SUL,RS,Sul,4306908,25872,2,0,1,0,1,Vários,4,15.460729746444
ENÉAS MARQUES,PR,Sul,4107405,6168,0,0,0,0,0,Nenhum,0,0
ENGENHEIRO BELTRÃO,PR,Sul,4107504,14314,0,0,0,0,0,Nenhum,0,0
ENGENHEIRO CALDAS,MG,Sudeste,3123700,11098,0,0,0,0,1,Um,1,9.01063254640476
ENGENHEIRO COELHO,SP,Sudeste,3515152,19497,0,1,0,0,0,Um,1,5.12899420423655
ENGENHEIRO NAVARRO,MG,Sudeste,3123809,7377,0,0,0,0,1,Um,1,13.5556459265284
ENGENHEIRO PAULO DE FRONTIN,RJ,Sudeste,3301801,13576,0,0,0,0,0,Nenhum,0,0
ENGENHO VELHO,RS,Sul,4306924,1340,0,0,0,0,0,Nenhum,0,0
ENTRE FOLHAS,MG,Sudeste,3123858,5443,0,0,0,0,0,Nenhum,0,0
ENTRE RIOS,BA,Nordeste,2910503,43223,0,1,0,0,1,Vários,2,4.62716609212688
ENTRE RIOS,SC,Sul,4205175,3183,0,0,0,0,0,Nenhum,0,0
ENTRE RIOS DE MINAS,MG,Sudeste,3123908,15292,0,0,1,0,1,Vários,2,13.0787339785509
ENTRE RIOS DO OESTE,PR,Sul,4107538,4406,0,0,0,0,0,Nenhum,0,0
ENTRE RIOS DO SUL,RS,Sul,4306957,3035,0,0,0,0,0,Nenhum,0,0
ENTRE-IJUÍS,RS,Sul,4306932,8981,0,0,0,0,0,Nenhum,0,0
ENVIRA,AM,Norte,1301506,19492,0,0,0,0,0,Nenhum,0,0
EPITACIOLÂNDIA,AC,Norte,1200252,17340,0,0,0,0,0,Nenhum,0,0
EQUADOR,RN,Nordeste,2403400,6119,0,0,0,0,0,Nenhum,0,0
EREBANGO,RS,Sul,4306973,3066,0,0,0,0,1,Um,1,32.6157860404436
ERECHIM,RS,Sul,4307005,103437,4,2,7,0,4,Vários,17,16.4351247619324
ERERÊ,CE,Nordeste,2304277,7163,0,0,0,0,0,Nenhum,0,0
ÉRICO CARDOSO,BA,Nordeste,2900504,11212,0,0,0,0,0,Nenhum,0,0
ERMO,SC,Sul,4205191,2076,0,0,0,0,0,Nenhum,0,0
ERNESTINA,RS,Sul,4307054,3215,0,0,0,0,0,Nenhum,0,0
ERVAL GRANDE,RS,Sul,4307203,5170,0,0,0,0,1,Um,1,19.3423597678917
