Partido,Tipo,Total pago
PPS,SERVIÇOS TÉCNICO-PROFISSIONAIS ,4593
PROS,ÁGUA E ESGOTO ,1717.99
PROS,ALUGUÉIS E CONDOMÍNIOS ,50909
PROS,ATIVO PERMANENTE ,30417.59
PROS,DESPESAS FINANCEIRAS ,6036.03
PROS,ENERGIA ELÉTRICA ,1269.73
PROS,LANCHES E REFEIÇÕES ,467.16
PROS,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,3900
PROS,MATERIAL DE CONSUMO ,12348.2
PROS,OUTRAS DESPESAS GERAIS ,60300
PROS,PROPAGANDA E PUBLICIDADE ,84330
PROS,SEGURANÇA E VIGILÂNCIA ,2800
PROS,SERVIÇOS CARTORÁRIOS ,762.96
PROS,SERVIÇOS DE LIMPEZA ,2200
PROS,SERVIÇOS TÉCNICO-PROFISSIONAIS ,64900
PROS,TELECOMUNICAÇÕES E INTERNET ,382.46
PROS,TRANSPORTES E VIAGENS ,26215.16
PRP,ALUGUÉIS E CONDOMÍNIOS ,6900
PRP,DESPESAS FINANCEIRAS ,2328.4
PRP,MATERIAL DE CONSUMO ,4000
PRP,SERVIÇOS TÉCNICO-PROFISSIONAIS ,15044
PRP,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,7632
PRTB,DESPESAS FINANCEIRAS ,322.25
PRTB,SERVIÇOS TÉCNICO-PROFISSIONAIS ,1874
PSB,ADIANTAMENTOS DIVERSOS ,1e+05
PSB,ÁGUA E ESGOTO ,1625.74
PSB,ALUGUÉIS E CONDOMÍNIOS ,303250
PSB,ATIVO PERMANENTE ,1502.75
PSB,CONVENÇÕES PARTIDÁRIAS ,7600
PSB,DESPESAS FINANCEIRAS ,12863.16
PSB,ENERGIA ELÉTRICA ,9152.58
PSB,EVENTOS PROMOCIONAIS ,6600
PSB,LANCHES E REFEIÇÕES ,416
PSB,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,7520
PSB,MATERIAL DE CONSUMO ,100531.37
PSB,OUTRAS DESPESAS GERAIS ,2960
PSB,OUTROS MATERIAIS PARA COMERCIALIZAÇÃO / DISTRIBUIÇÃO ,4000
PSB,PESSOAL ,69465.03
PSB,PROPAGANDA E PUBLICIDADE ,300
PSB,PUBLICAÇÕES ,432
PSB,SEGURANÇA E VIGILÂNCIA ,3000
PSB,SEMINÁRIOS ,7400
PSB,SERVIÇOS CARTORÁRIOS ,267.12
PSB,SERVIÇOS DE LIMPEZA ,3800
PSB,SERVIÇOS POSTAIS ,60.9
PSB,SERVIÇOS TÉCNICO-PROFISSIONAIS ,48924
PSB,TELECOMUNICAÇÕES E INTERNET ,7265.24
PSB,TRANSFERÊNCIAS FINANCEIRAS EFETUADAS ,500
PSB,TRANSPORTES E VIAGENS ,57943.16
PSB,TRIBUTOS ,6019.63
PSC,ÁGUA E ESGOTO ,837.56
PSC,ALUGUÉIS E CONDOMÍNIOS ,21910
PSC,ATIVO PERMANENTE ,1485.08
PSC,DESPESAS FINANCEIRAS ,1461.05
PSC,ENERGIA ELÉTRICA ,4055.99
PSC,EVENTOS PROMOCIONAIS ,2270.4
PSC,MATERIAL DE CONSUMO ,3900
PSC,PESSOAL ,223604.48
PSC,PROPAGANDA E PUBLICIDADE ,10350
PSC,SERVIÇOS TÉCNICO-PROFISSIONAIS ,16800
PSC,TELECOMUNICAÇÕES E INTERNET ,3259.91
PSC,TRIBUTOS ,570.6
PSD,ÁGUA E ESGOTO ,812.65
PSD,ALUGUÉIS E CONDOMÍNIOS ,91112
PSD,DESPESAS FINANCEIRAS ,8686.12
PSD,ENERGIA ELÉTRICA ,3379.34
PSD,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,1040
PSD,MATERIAL DE CONSUMO ,320
PSD,OUTRAS DESPESAS GERAIS ,342
PSD,PESSOAL ,253012.54
PSD,PUBLICAÇÕES ,850
PSD,SEGURANÇA E VIGILÂNCIA ,1200
PSD,SERVIÇOS CARTORÁRIOS ,127.16
PSD,SERVIÇOS DE LIMPEZA ,5500
PSD,SERVIÇOS POSTAIS ,227.99
PSD,SERVIÇOS TÉCNICO-PROFISSIONAIS ,33228
PSD,TELECOMUNICAÇÕES E INTERNET ,2978.26
PSD,TRANSPORTES E VIAGENS ,7866.84
PSDB,ÁGUA E ESGOTO ,3822.01
PSDB,ALUGUÉIS E CONDOMÍNIOS ,249360.31
PSDB,ATIVO PERMANENTE ,15804.91
PSDB,CÓPIAS, ENCADERNAÇÕES E SERVIÇOS SIMILARES ,2500
PSDB,DESPESAS FINANCEIRAS ,7026.55
PSDB,DESPESAS JUDICIAIS ,35511.7
PSDB,ENERGIA ELÉTRICA ,4625.43
PSDB,EVENTOS PROMOCIONAIS ,33738
PSDB,MANUTENÇÃO, CONSERVAÇÃO E REPAROS DE BENS ,43668.35
PSDB,MATERIAL DE CONSUMO ,10919.74
PSDB,OUTRAS DESPESAS GERAIS ,3447
